time(ms)	OriginalData	FilteredData
6738.78	4.853	0.982216
6739.78	4.48413	1.05604
6740.77	-1.08195	0.986631
6741.78	1.54748	1.03456
6742.77	-1.76764	0.971313
6743.77	-0.535292	1.00544
6744.78	2.98981	1.11466
6745.78	-0.40111	1.07832
6746.79	1.76938	1.05326
6747.78	-1.29324	1.06679
6748.77	-0.682684	0.996099
6749.79	-1.9985	0.974691
6750.78	0.139612	0.939354
6751.79	4.02969	1.01035
6752.81	-1.09886	0.927493
6753.79	-1.61842	0.852069
6754.78	0.577159	0.870512
6755.8	1.39179	0.955146
6756.76	0.884081	0.906647
6757.81	0.252548	0.932494
6758.78	1.71772	0.974207
6759.78	-0.641727	1.01793
6760.77	2.15349	1.00558
6761.8	-2.79328	0.852834
6762.77	2.02218	0.860846
6763.78	4.83168	0.884119
6764.87	3.14638	0.857816
6765.78	0.498845	0.842912
6766.79	-1.97245	0.849557
6767.77	-2.70155	0.730589
6768.78	2.10879	0.690121
6769.79	1.26927	0.67045
6770.77	-1.32402	0.613259
6771.79	-1.15676	0.61028
6772.78	-1.9422	0.568487
6773.78	2.65846	0.582902
6774.78	-2.02879	0.473159
6775.78	-2.82412	0.368735
6776.77	2.69662	0.448603
6777.81	1.06183	0.476171
6778.78	4.21621	0.49267
6779.77	2.92535	0.562525
6780.77	1.53141	0.580645
6781.78	-0.224633	0.560181
6782.78	4.07293	0.680556
6783.95	-1.55025	0.689449
6785.02	0.944917	0.708454
6785.86	-1.21855	0.731355
6786.81	0.207882	0.683639
6787.78	3.91215	0.680776
6788.78	2.4685	0.633086
6789.81	0.925671	0.561917
6790.78	-2.24105	0.538735
6791.8	-1.13084	0.485168
6792.77	0.0110422	0.520742
6793.79	1.23466	0.556141
6794.78	5.38506	0.604046
6795.78	4.1307	0.694682
6796.77	2.29008	0.705096
6797.79	0.623483	0.743431
6798.77	-0.859333	0.739898
6799.79	-0.871215	0.762443
6800.77	0.2138	0.763927
6801.78	2.74485	0.73823
6802.78	2.93177	0.818843
6803.77	3.55834	0.922378
6804.77	0.469898	0.920233
6805.78	2.22798	0.936956
6806.78	0.79572	0.935189
6807.78	-2.47259	0.880686
6808.78	-1.93567	0.807619
6809.78	4.05888	0.901631
6810.77	3.76412	0.933843
6811.77	1.97853	1.02928
6812.78	4.06531	1.07014
6813.78	5.35001	1.08051
6814.78	-2.45132	0.968555
6815.78	4.62177	1.05101
6816.78	0.798229	1.10643
6817.78	2.75215	1.2155
6818.82	5.31077	1.27954
6819.78	4.63583	1.34687
6820.78	4.74724	1.4683
6821.78	4.75678	1.58657
6822.77	-0.247078	1.62047
6823.78	5.38386	1.67498
6824.78	5.40543	1.82366
6825.78	0.136501	1.88287
6826.77	2.79452	1.88483
6827.77	4.39385	1.95147
6828.77	0.33206	1.87379
6829.78	-2.22022	1.77088
6830.78	3.07095	1.80167
6831.87	1.85698	1.8433
6832.82	-1.33855	1.73507
6833.79	1.16452	1.78937
6834.78	-2.4867	1.72074
6835.8	4.88994	1.8429
6836.8	5.31392	1.94503
